Arsenal,Puma,
Bournemouth,Umbro,
Brighton & Hove Albion,Nike,
Burnley,Puma,
Cardiff City,Adidas,
Chelsea,Nike,
Crystal Palace,Puma,
Everton,Umbro,
Fulham,Adidas,
Huddersfield Town,Umbro,
Leicester City,Adidas,
Liverpool,New Balance,
Manchester City,Nike,
Manchester United,Adidas,
Newcastle United,Puma,
Southampton,Under Armour,
Tottenham Hotspur,Nike,
Watford,Adidas,
West Ham United,Umbro,
Wolverhampton Wanderers,Adidas,
